ampNum,propcode,building
MI001000001,01bre-op,Brewster Homes
MI001000003,03dig-op,Diggs Homes
MI001000003,03for-op,Forest Park Place
MI001000011,11riv-op,Riverbend Towers
MI001000012,12ssw-op,Scattered Sites West
MI001000013,13sse-op,Scattered Sites East
MI001000014,14ssc-op,Scattered Sites Central
MI001000015,15she-op,Sheridan Place I
MI001000015,15she-op,Sheridan Place II
MI001000016,16smi-op,Smith Homes
MI001000018,18war-op,Warren West Apartments
MI001000028,28alg-op,Algonquin Apartments
MI001000029,29gre-op,Greenbrooke Manor