tid,location,total,late,late_same,late_duration,late_amount,name
t0011332,15she-op,60,12,2,10,189.5,Sheridan
t0011333,15she-op,63,36,6,5,1054.5,Sheridan
t0011350,15she-op,59,0,0,0,0,Sheridan
t0011352,15she-op,50,28,4,8,123.75,Sheridan
t0011354,15she-op,61,24,0,0,0,Sheridan
t0011601,15she-op,51,9,2,11,228.5,Sheridan
t0011602,15she-op,50,48,5,8,219.2,Sheridan
t0011631,15she-op,50,6,0,0,0,Sheridan
t0011671,15she-op,51,11,1,14,50,Sheridan
t0011673,15she-op,50,14,2,9.5,199.5,Sheridan
t0011678,15she-op,54,17,2,2,51.5,Sheridan
t0011722,15she-op,59,21,0,0,0,Sheridan
t0011723,15she-op,38,13,10,16,233.5,Sheridan
t0011789,15she-op,50,27,8,16,291.125,Sheridan
t0011804,15she-op,49,22,0,0,0,Sheridan
t0011816,15she-op,50,0,0,0,0,Sheridan
t0011858,15she-op,50,10,2,19,242,Sheridan
t0011967,15she-op,21,0,0,0,0,Sheridan
t0012063,15she-op,50,25,6,8.5,305,Sheridan
t0012082,15she-op,50,14,3,1,159,Sheridan
t0012092,15she-op,55,23,5,7,182,Sheridan
t0012241,15she-op,50,1,1,1,230,Sheridan
t0012285,15she-op,50,9,2,18,217,Sheridan
t0012303,15she-op,57,6,0,0,0,Sheridan
t0012320,15she-op,50,0,0,0,0,Sheridan
t0012400,15she-op,50,15,1,1,219,Sheridan
t0012462,15she-op,57,15,3,5,228.333333333333,Sheridan
t0012463,15she-op,51,10,3,5,192,Sheridan
t0012476,15she-op,58,32,8,15.5,264.125,Sheridan
t0012480,15she-op,50,6,0,0,0,Sheridan
t0012487,15she-op,50,12,1,1,226,Sheridan
t0012508,15she-op,51,9,4,7.5,149,Sheridan
t0012509,15she-op,56,12,1,3,215,Sheridan
t0012524,15she-op,57,40,13,13,225.384615384615,Sheridan
t0012528,15she-op,50,8,2,2.5,244.5,Sheridan
t0012529,15she-op,50,8,1,20,226,Sheridan
t0012559,15she-op,50,7,0,0,0,Sheridan
t0012579,15she-op,53,30,1,14,600,Sheridan
t0012620,15she-op,50,5,0,0,0,Sheridan
t0012716,15she-op,52,14,4,1,56.25,Sheridan
t0012812,15she-op,50,8,0,0,0,Sheridan
t0012813,15she-op,57,20,10,2.5,98.3,Sheridan
t0012817,15she-op,50,37,11,10,223.272727272727,Sheridan
t0012818,15she-op,72,35,2,2,222,Sheridan
t0012993,15she-op,50,52,4,17,218.75,Sheridan
t0012994,15she-op,51,28,1,1,215,Sheridan
t0012995,15she-op,62,34,8,8,675.77,Sheridan
t0012996,15she-op,53,57,2,8,167.5,Sheridan
t0013033,15she-op,50,14,2,15.5,428.5,Sheridan
t0013034,15she-op,61,31,15,9,271,Sheridan
t0013062,15she-op,61,28,4,7.5,293.75,Sheridan
t0013096,15she-op,50,0,0,0,0,Sheridan
t0013221,15she-op,50,0,0,0,0,Sheridan
t0013222,15she-op,50,18,3,1,302,Sheridan
t0013225,15she-op,50,5,2,17,220,Sheridan
t0013231,15she-op,50,32,2,11,215,Sheridan
t0013232,15she-op,26,0,0,0,0,Sheridan
t0013233,15she-op,50,30,9,9,147.111111111111,Sheridan
t0013234,15she-op,50,2,0,0,0,Sheridan
t0013255,15she-op,64,19,2,3.5,217.5,Sheridan
t0013264,15she-op,51,31,9,17,265.333333333333,Sheridan
t0013283,15she-op,52,10,1,1,293,Sheridan
t0013302,15she-op,62,41,5,7,228,Sheridan
t0013331,15she-op,57,4,0,0,0,Sheridan
t0013332,15she-op,51,5,0,0,0,Sheridan
t0013337,15she-op,52,0,0,0,0,Sheridan
t0013342,15she-op,50,25,0,0,0,Sheridan
t0013343,15she-op,50,11,0,0,0,Sheridan
t0013428,15she-op,53,45,3,1,297.333333333333,Sheridan
t0013592,15she-op,53,6,0,0,0,Sheridan
t0013614,15she-op,56,3,0,0,0,Sheridan
t0013719,15she-op,50,22,2,-2.5,230.5,Sheridan
t0013845,15she-op,50,2,0,0,0,Sheridan
t0013846,15she-op,50,0,0,0,0,Sheridan
t0013942,15she-op,63,16,0,0,0,Sheridan
t0014033,15she-op,69,24,3,8,264.333333333333,Sheridan
t0014162,15she-op,50,0,0,0,0,Sheridan
t0014196,15she-op,50,5,2,10.5,234,Sheridan
t0014197,15she-op,55,25,8,12,198.125,Sheridan
t0014201,15she-op,17,0,0,0,0,Sheridan
t0014203,15she-op,51,33,26,16,447.807692307692,Sheridan
t0014216,15she-op,55,38,7,17,259.714285714286,Sheridan
t0014219,15she-op,52,12,3,18,297.666666666667,Sheridan
t0014253,15she-op,50,1,0,0,0,Sheridan
t0014254,15she-op,59,47,13,3,50,Sheridan
t0014414,15she-op,57,29,5,11,182,Sheridan
t0014514,15she-op,50,7,1,2,220,Sheridan
t0014519,15she-op,65,28,24,9.5,299.541666666667,Sheridan
t0014586,15she-op,57,0,0,0,0,Sheridan
t0014626,15she-op,50,6,0,0,0,Sheridan
t0014645,15she-op,62,8,2,1,226,Sheridan
t0014683,15she-op,71,62,27,8,279.962962962963,Sheridan
t0014685,15she-op,50,16,2,4,128.5,Sheridan
t0014695,15she-op,37,12,1,19,402,Sheridan
t0014707,15she-op,52,5,1,2,254,Sheridan
t0014708,15she-op,50,24,4,18.5,358.5,Sheridan
t0014789,15she-op,50,0,0,0,0,Sheridan
t0014793,15she-op,50,1,0,0,0,Sheridan
t0014795,15she-op,50,15,3,1,398,Sheridan
t0014840,15she-op,50,0,0,0,0,Sheridan
t0014849,15she-op,62,0,0,0,0,Sheridan
t0014897,15she-op,50,16,3,13,189,Sheridan
t0014994,15she-op,50,12,0,0,0,Sheridan
t0015216,15she-op,33,30,4,7,344.75,Sheridan
t0015286,15she-op,50,2,1,8,329,Sheridan
t0015308,15she-op,60,31,3,2,305,Sheridan
t0015451,15she-op,50,32,7,9,176.714285714286,Sheridan
t0015470,15she-op,50,5,2,12.5,190.5,Sheridan
t0015710,15she-op,50,0,0,0,0,Sheridan
t0015711,15she-op,50,5,0,0,0,Sheridan
t0015730,15she-op,57,14,1,20,336,Sheridan
t0015731,15she-op,50,9,1,20,226,Sheridan
t0015760,15she-op,50,6,5,4,62,Sheridan
t0015762,15she-op,60,44,27,7,265.222222222222,Sheridan
t0015774,15she-op,52,28,6,4,187.833333333333,Sheridan
t0015775,15she-op,53,23,0,0,0,Sheridan
t0015783,15she-op,53,6,1,2,50,Sheridan
t0015825,15she-op,54,26,0,0,0,Sheridan
t0015831,15she-op,51,19,3,15,208,Sheridan
t0015845,15she-op,56,0,0,0,0,Sheridan
t0015885,15she-op,50,18,1,1,220,Sheridan
t0015920,15she-op,53,18,6,15.5,223.833333333333,Sheridan
t0016006,15she-op,52,19,1,20,216,Sheridan
t0016017,15she-op,47,23,2,10.5,219.5,Sheridan
t0016098,15she-op,46,13,0,0,0,Sheridan
t0016099,15she-op,46,26,7,7,271.535714285714,Sheridan
t0016112,15she-op,46,11,5,9,213.4,Sheridan
t0016186,15she-op,45,4,0,0,0,Sheridan
t0016196,15she-op,52,17,1,20,240,Sheridan
t0016275,15she-op,49,26,9,8,224.555555555556,Sheridan
t0016276,15she-op,46,15,3,4,283,Sheridan
t0016393,15she-op,59,22,2,2.5,313,Sheridan
t0016459,15she-op,44,16,1,4,100,Sheridan
t0016594,15she-op,42,1,0,0,0,Sheridan
t0016598,15she-op,43,3,2,-1,220,Sheridan
t0016613,15she-op,51,26,2,8,205.5,Sheridan
t0016624,15she-op,41,1,0,0,0,Sheridan
t0016636,15she-op,43,3,1,2,131,Sheridan
t0016645,15she-op,41,16,2,3.5,197,Sheridan
t0017117,15she-op,29,3,1,8,253,Sheridan
t0017738,15she-op,20,14,0,0,0,Sheridan
t0019999,15she-op,29,10,0,0,0,Sheridan
t0023661,15she-op,17,1,0,0,0,Sheridan
t0023665,15she-op,27,11,4,17,219.25,Sheridan
t0023721,15she-op,23,14,2,2.5,259.5,Sheridan
t0023728,15she-op,21,16,1,1,338,Sheridan
t0023732,15she-op,24,8,0,0,0,Sheridan
t0023747,15she-op,22,1,0,0,0,Sheridan
t0023758,15she-op,17,2,1,3,220,Sheridan
t0023764,15she-op,31,10,1,2,543,Sheridan
t0023790,15she-op,12,0,0,0,0,Sheridan
t0023834,15she-op,27,8,1,2,215,Sheridan
t0023843,15she-op,20,8,3,17,132.666666666667,Sheridan
t0023894,15she-op,21,5,1,9,251,Sheridan
t0023896,15she-op,32,19,10,3.5,295.7,Sheridan
t0023961,15she-op,27,11,0,0,0,Sheridan
t0023968,15she-op,31,9,4,6.5,217.5,Sheridan
t0023989,15she-op,21,2,0,0,0,Sheridan
t0024031,15she-op,31,0,0,0,0,Sheridan
t0024034,15she-op,41,0,0,0,0,Sheridan
t0024108,15she-op,29,22,1,1,210,Sheridan
t0024109,15she-op,12,0,0,0,0,Sheridan
t0024117,15she-op,37,8,1,11,413,Sheridan
t0024157,15she-op,25,12,1,1,207,Sheridan
t0024165,15she-op,22,2,0,0,0,Sheridan
t0024177,15she-op,38,2,0,0,0,Sheridan
t0024180,15she-op,29,6,2,2,202.5,Sheridan
t0024220,15she-op,29,10,1,5,169,Sheridan
t0024248,15she-op,19,0,0,0,0,Sheridan
t0024271,15she-op,30,0,0,0,0,Sheridan
t0024285,15she-op,28,26,1,1,216,Sheridan
t0024322,15she-op,29,15,1,19,219,Sheridan
t0025447,15she-op,22,10,2,5.5,525,Sheridan
t0026758,15she-op,25,18,2,11,226.5,Sheridan
t0030095,15she-op,25,0,0,0,0,Sheridan
t0034364,15she-op,17,2,0,0,0,Sheridan
t0034366,15she-op,26,2,1,1,237,Sheridan
t0034404,15she-op,20,8,1,2,284,Sheridan
t0036987,15she-op,17,8,2,3,255,Sheridan
t0037161,15she-op,17,1,0,0,0,Sheridan
t0037221,15she-op,2,0,0,0,0,Sheridan
t0037485,15she-op,2,0,0,0,0,Sheridan
t0037560,15she-op,18,0,0,0,0,Sheridan
t0037648,15she-op,17,0,0,0,0,Sheridan
t0037791,15she-op,17,2,0,0,0,Sheridan
t0037798,15she-op,18,0,0,0,0,Sheridan
t0037815,15she-op,18,2,0,0,0,Sheridan
t0037816,15she-op,18,6,1,2,232,Sheridan
t0038027,15she-op,12,0,0,0,0,Sheridan
t0038030,15she-op,2,0,0,0,0,Sheridan
b0007505,16smi-op,11,0,0,0,0,Smith Homes
b0011116,16smi-op,35,6,2,6.5,327,Smith Homes
t0007105,16smi-op,50,0,0,0,0,Smith Homes
t0007120,16smi-op,57,3,1,9,122,Smith Homes
t0007121,16smi-op,25,23,8,10,141.875,Smith Homes
t0007129,16smi-op,50,31,14,4.5,140.071428571429,Smith Homes
t0007131,16smi-op,20,0,0,0,0,Smith Homes
t0007132,16smi-op,10,0,0,0,0,Smith Homes
t0007152,16smi-op,50,11,0,0,0,Smith Homes
t0007164,16smi-op,1,0,0,0,0,Smith Homes
t0007182,16smi-op,3,0,0,0,0,Smith Homes
t0007222,16smi-op,58,24,6,14,445.666666666667,Smith Homes
t0007224,16smi-op,52,15,2,3,127.5,Smith Homes
t0007237,16smi-op,50,0,0,0,0,Smith Homes
t0007383,16smi-op,30,18,6,9,207.666666666667,Smith Homes
t0007422,16smi-op,50,17,1,9,434,Smith Homes
t0007443,16smi-op,50,0,0,0,0,Smith Homes
t0007444,16smi-op,50,0,0,0,0,Smith Homes
t0007445,16smi-op,50,5,1,9,484,Smith Homes
t0007459,16smi-op,50,6,1,12,344,Smith Homes
t0007471,16smi-op,38,8,3,4,67.6666666666667,Smith Homes
t0007474,16smi-op,61,13,1,2,722,Smith Homes
t0007475,16smi-op,26,4,0,0,0,Smith Homes
t0007497,16smi-op,24,10,2,9.5,210,Smith Homes
t0007506,16smi-op,54,3,3,9,541.666666666667,Smith Homes
t0007509,16smi-op,50,17,2,12,110,Smith Homes
t0007510,16smi-op,56,23,2,6.5,70.5,Smith Homes
t0007574,16smi-op,61,31,1,19,488,Smith Homes
t0007576,16smi-op,50,5,1,20,114,Smith Homes
t0007577,16smi-op,50,27,3,11,74.6666666666667,Smith Homes
t0007591,16smi-op,11,9,3,5,31,Smith Homes
t0007592,16smi-op,16,4,2,7,102.5,Smith Homes
t0007599,16smi-op,50,32,11,10,486.363636363636,Smith Homes
t0007649,16smi-op,51,22,0,0,0,Smith Homes
t0007720,16smi-op,3,0,0,0,0,Smith Homes
t0007723,16smi-op,51,4,0,0,0,Smith Homes
t0007758,16smi-op,48,19,13,10,484.923076923077,Smith Homes
t0007791,16smi-op,38,22,8,10,81.625,Smith Homes
t0007802,16smi-op,7,0,0,0,0,Smith Homes
t0007816,16smi-op,24,57,5,2,185.4,Smith Homes
t0007866,16smi-op,32,6,0,0,0,Smith Homes
t0007873,16smi-op,57,0,0,0,0,Smith Homes
t0007888,16smi-op,46,3,1,9,163,Smith Homes
t0008045,16smi-op,50,31,8,5.5,229.625,Smith Homes
t0008097,16smi-op,50,20,7,9,290.714285714286,Smith Homes
t0008198,16smi-op,55,0,0,0,0,Smith Homes
t0008244,16smi-op,35,47,11,5,315.181818181818,Smith Homes
t0008287,16smi-op,53,2,0,0,0,Smith Homes
t0008342,16smi-op,73,29,11,12,214.272727272727,Smith Homes
t0008380,16smi-op,62,30,15,5,426.6,Smith Homes
t0008382,16smi-op,33,2,0,0,0,Smith Homes
t0008388,16smi-op,51,32,9,9,125.888888888889,Smith Homes
t0008390,16smi-op,50,10,1,16,26,Smith Homes
t0008397,16smi-op,2,0,0,0,0,Smith Homes
t0008398,16smi-op,54,2,1,8,388,Smith Homes
t0009297,16smi-op,25,2,0,0,0,Smith Homes
t0009914,16smi-op,57,12,2,12.5,184,Smith Homes
t0010800,16smi-op,70,36,22,6,442.727272727273,Smith Homes
t0010894,16smi-op,55,10,0,0,0,Smith Homes
t0011253,16smi-op,9,5,1,10,12,Smith Homes
t0011291,16smi-op,37,26,4,7.5,195,Smith Homes
t0011315,16smi-op,60,32,16,8,383.0625,Smith Homes
t0011353,16smi-op,40,2,0,0,0,Smith Homes
t0011566,16smi-op,59,11,1,2,400,Smith Homes
t0011698,16smi-op,22,11,1,17,200,Smith Homes
t0011785,16smi-op,6,0,0,0,0,Smith Homes
t0012375,16smi-op,11,0,0,0,0,Smith Homes
t0012452,16smi-op,9,0,0,0,0,Smith Homes
t0012532,16smi-op,14,17,1,3,100,Smith Homes
t0012535,16smi-op,23,3,0,0,0,Smith Homes
t0012651,16smi-op,1,0,0,0,0,Smith Homes
t0012726,16smi-op,12,2,2,9,13,Smith Homes
t0013028,16smi-op,21,11,3,5,276.166666666667,Smith Homes
t0013050,16smi-op,10,1,1,10,110,Smith Homes
t0013059,16smi-op,42,33,17,10,175.529411764706,Smith Homes
t0013064,16smi-op,1,0,0,0,0,Smith Homes
t0013087,16smi-op,68,39,9,6,50.5555555555556,Smith Homes
t0013170,16smi-op,1,0,0,0,0,Smith Homes
t0013219,16smi-op,36,27,4,6,93,Smith Homes
t0013266,16smi-op,77,29,11,2,161.818181818182,Smith Homes
t0013278,16smi-op,16,3,1,6,103.33,Smith Homes
t0013436,16smi-op,50,20,4,8,326.25,Smith Homes
t0013669,16smi-op,58,5,1,4,150,Smith Homes
t0014048,16smi-op,24,1,0,0,0,Smith Homes
t0014063,16smi-op,41,31,11,7,175.454545454545,Smith Homes
t0014176,16smi-op,33,2,0,0,0,Smith Homes
t0014419,16smi-op,61,35,10,4.5,471.2,Smith Homes
t0014905,16smi-op,54,22,8,7.5,150.9875,Smith Homes
t0015020,16smi-op,56,28,9,7,599.666666666667,Smith Homes
t0015569,16smi-op,52,35,7,12,184.571428571429,Smith Homes
t0015593,16smi-op,50,41,0,0,0,Smith Homes
t0015595,16smi-op,43,21,3,2,219.333333333333,Smith Homes
t0015781,16smi-op,11,12,4,16,76.25,Smith Homes
t0015789,16smi-op,50,5,1,8,355,Smith Homes
t0015853,16smi-op,51,6,4,9.5,536.5,Smith Homes
t0016007,16smi-op,58,29,5,14,403,Smith Homes
t0016013,16smi-op,6,0,0,0,0,Smith Homes
t0016031,16smi-op,47,28,5,2,156.8,Smith Homes
t0016337,16smi-op,46,32,6,5.5,217.333333333333,Smith Homes
t0016418,16smi-op,42,33,2,3.5,412,Smith Homes
t0016804,16smi-op,29,20,6,8,152.5,Smith Homes
t0016806,16smi-op,39,7,2,4,777.5,Smith Homes
t0016897,16smi-op,21,0,0,0,0,Smith Homes
t0016898,16smi-op,40,16,1,18,127,Smith Homes
t0021892,16smi-op,31,13,4,3,89.25,Smith Homes
t0022468,16smi-op,40,20,3,3,105,Smith Homes
t0022574,16smi-op,30,9,0,0,0,Smith Homes
t0022641,16smi-op,50,20,1,18,148,Smith Homes
t0022722,16smi-op,43,3,0,0,0,Smith Homes
t0022799,16smi-op,10,0,0,0,0,Smith Homes
t0023026,16smi-op,23,1,1,5,100,Smith Homes
t0023218,16smi-op,43,7,0,0,0,Smith Homes
t0023281,16smi-op,23,3,1,3,80,Smith Homes
t0023511,16smi-op,18,0,0,0,0,Smith Homes
t0023518,16smi-op,38,12,2,5,117.25,Smith Homes
t0023536,16smi-op,17,14,1,9,1000,Smith Homes
t0023564,16smi-op,16,1,0,0,0,Smith Homes
t0023580,16smi-op,25,6,3,9,243.333333333333,Smith Homes
t0023598,16smi-op,14,1,1,9,83,Smith Homes
t0029875,16smi-op,27,15,3,5,20,Smith Homes
t0034400,16smi-op,24,4,2,7.5,166.5,Smith Homes
t0034535,16smi-op,63,21,2,1.5,238,Smith Homes
t0034540,16smi-op,15,4,0,0,0,Smith Homes
t0037767,16smi-op,3,0,0,0,0,Smith Homes
t0037896,16smi-op,5,0,0,0,0,Smith Homes
b0036886,18war-op,28,0,0,0,0,Warren West
t0007084,18war-op,65,23,11,16,203.509090909091,Warren West
t0007146,18war-op,50,1,0,0,0,Warren West
t0007218,18war-op,50,0,0,0,0,Warren West
t0007246,18war-op,77,38,4,7.5,175,Warren West
t0007360,18war-op,51,21,6,7,162.333333333333,Warren West
t0007447,18war-op,25,18,0,0,0,Warren West
t0007654,18war-op,50,10,0,0,0,Warren West
t0007659,18war-op,69,37,3,17,260,Warren West
t0007675,18war-op,50,5,2,3.5,185.5,Warren West
t0007676,18war-op,50,2,0,0,0,Warren West
t0007830,18war-op,50,0,0,0,0,Warren West
t0007838,18war-op,50,2,0,0,0,Warren West
t0007839,18war-op,72,19,7,7,253,Warren West
t0007848,18war-op,101,32,2,7.5,132.5,Warren West
t0007855,18war-op,50,4,0,0,0,Warren West
t0007869,18war-op,50,10,1,2,320,Warren West
t0007879,18war-op,50,2,1,2,276,Warren West
t0007903,18war-op,62,30,3,2,158,Warren West
t0007905,18war-op,51,5,0,0,0,Warren West
t0007906,18war-op,52,0,0,0,0,Warren West
t0007907,18war-op,50,2,0,0,0,Warren West
t0007913,18war-op,50,24,11,2,418.272727272727,Warren West
t0007917,18war-op,50,36,2,5.5,131,Warren West
t0007957,18war-op,51,0,0,0,0,Warren West
t0007981,18war-op,55,11,8,2,173.75,Warren West
t0008114,18war-op,50,0,0,0,0,Warren West
t0008116,18war-op,50,1,0,0,0,Warren West
t0008156,18war-op,50,0,0,0,0,Warren West
t0008209,18war-op,25,2,2,10.5,287,Warren West
t0008211,18war-op,50,1,1,15,124,Warren West
t0008235,18war-op,50,26,6,3.5,137.333333333333,Warren West
t0008258,18war-op,53,0,0,0,0,Warren West
t0008276,18war-op,50,7,2,5,462,Warren West
t0008303,18war-op,50,1,0,0,0,Warren West
t0008349,18war-op,11,0,0,0,0,Warren West
t0008364,18war-op,50,2,1,19,203,Warren West
t0008510,18war-op,50,0,0,0,0,Warren West
t0010844,18war-op,50,7,4,6,186.5,Warren West
t0010942,18war-op,62,0,0,0,0,Warren West
t0011034,18war-op,50,31,22,10.5,138.363636363636,Warren West
t0011130,18war-op,62,37,9,6,230.111111111111,Warren West
t0011239,18war-op,50,5,2,3.5,231,Warren West
t0011276,18war-op,52,0,0,0,0,Warren West
t0011277,18war-op,81,36,12,4,209.416666666667,Warren West
t0011283,18war-op,34,11,4,9.5,252.5,Warren West
t0011356,18war-op,53,11,1,2,10,Warren West
t0011780,18war-op,50,4,1,16,4,Warren West
t0012042,18war-op,50,2,0,0,0,Warren West
t0012045,18war-op,61,8,0,0,0,Warren West
t0012118,18war-op,50,5,1,2,34,Warren West
t0012119,18war-op,50,7,0,0,0,Warren West
t0012131,18war-op,50,15,4,2,50,Warren West
t0012143,18war-op,22,5,3,9,58.3333333333333,Warren West
t0012328,18war-op,50,7,0,0,0,Warren West
t0012373,18war-op,24,12,3,2,50,Warren West
t0012374,18war-op,51,34,16,2,331.3125,Warren West
t0012455,18war-op,51,29,1,3,280,Warren West
t0012461,18war-op,70,22,8,8.5,297.25,Warren West
t0012497,18war-op,54,33,3,4,220,Warren West
t0013199,18war-op,50,7,2,8.5,122,Warren West
t0013216,18war-op,50,37,11,2,198.272727272727,Warren West
t0013252,18war-op,68,0,0,0,0,Warren West
t0013434,18war-op,50,0,0,0,0,Warren West
t0014336,18war-op,51,0,0,0,0,Warren West
t0014860,18war-op,50,0,0,0,0,Warren West
t0014898,18war-op,23,10,0,0,0,Warren West
t0014908,18war-op,40,6,0,0,0,Warren West
t0015202,18war-op,50,0,0,0,0,Warren West
t0015482,18war-op,54,0,0,0,0,Warren West
t0015528,18war-op,50,0,0,0,0,Warren West
t0015568,18war-op,45,19,4,2,115.75,Warren West
t0015654,18war-op,53,0,0,0,0,Warren West
t0015707,18war-op,50,0,0,0,0,Warren West
t0015720,18war-op,50,0,0,0,0,Warren West
t0015791,18war-op,61,0,0,0,0,Warren West
t0015834,18war-op,50,9,1,4,25,Warren West
t0015836,18war-op,50,6,0,0,0,Warren West
t0015872,18war-op,51,0,0,0,0,Warren West
t0015876,18war-op,62,39,9,16,283.666666666667,Warren West
t0016005,18war-op,49,0,0,0,0,Warren West
t0016029,18war-op,48,10,4,2,291,Warren West
t0016055,18war-op,47,0,0,0,0,Warren West
t0016115,18war-op,58,0,0,0,0,Warren West
t0016200,18war-op,46,0,0,0,0,Warren West
t0016370,18war-op,44,15,3,7,248,Warren West
t0016387,18war-op,45,20,12,11.5,250.916666666667,Warren West
t0016464,18war-op,23,16,1,2,228,Warren West
t0016577,18war-op,40,0,0,0,0,Warren West
t0016723,18war-op,43,5,1,7,149,Warren West
t0016780,18war-op,40,0,0,0,0,Warren West
t0016853,18war-op,40,0,0,0,0,Warren West
t0016884,18war-op,39,0,0,0,0,Warren West
t0016896,18war-op,39,4,1,12,1,Warren West
t0020112,18war-op,34,7,0,0,0,Warren West
t0020534,18war-op,14,0,0,0,0,Warren West
t0020783,18war-op,26,22,0,0,0,Warren West
t0024841,18war-op,34,10,3,2,237,Warren West
t0024847,18war-op,43,17,5,2,226.4,Warren West
t0024883,18war-op,40,16,0,0,0,Warren West
t0024890,18war-op,31,1,1,8,204,Warren West
t0024903,18war-op,12,0,0,0,0,Warren West
t0024925,18war-op,35,21,15,8,151.066666666667,Warren West
t0024965,18war-op,19,6,0,0,0,Warren West
t0024992,18war-op,43,27,1,2,120,Warren West
t0025081,18war-op,34,0,0,0,0,Warren West
t0025127,18war-op,35,14,4,2,242.75,Warren West
t0034304,18war-op,19,2,0,0,0,Warren West
t0036971,18war-op,26,20,0,0,0,Warren West
t0036999,18war-op,26,2,0,0,0,Warren West
t0037003,18war-op,26,0,0,0,0,Warren West
t0037029,18war-op,24,0,0,0,0,Warren West
t0037407,18war-op,22,14,1,2,55,Warren West
t0037539,18war-op,22,0,0,0,0,Warren West
t0037540,18war-op,21,1,1,1,36,Warren West
t0037561,18war-op,22,14,0,0,0,Warren West
t0037563,18war-op,14,1,0,0,0,Warren West
t0038031,18war-op,14,0,0,0,0,Warren West
t0038033,18war-op,12,0,0,0,0,Warren West
